Description,Date
New Year's Day,01-01-2003
Epiphany,01-06-2003
Saint Joseph's Day,03-24-2003
Maundy Thursday,04-17-2003
Good Friday,04-18-2003
Labour Day,05-01-2003
Ascension Day,06-02-2003
Corpus Christi,06-23-2003
Feast of Saints Peter and Paul,06-30-2003
Feast of the Sacred Heart,06-30-2003
Independence Day,07-20-2003
Battle of Boyacá Day,08-07-2003
Assumption of Mary,08-18-2003
Day of the Races,10-13-2003
All Saints' Day,11-03-2003
Cartagena Independence Day,11-17-2003
Feast of the Immaculate Conception,12-08-2003
Christmas Day,12-25-2003
New Year's Day,01-01-2004
Epiphany,01-12-2004
Saint Joseph's Day,03-22-2004
Maundy Thursday,04-08-2004
Good Friday,04-09-2004
Labour Day,05-01-2004
Ascension Day,05-24-2004
Corpus Christi,06-14-2004
Feast of the Sacred Heart,06-21-2004
Feast of Saints Peter and Paul,07-05-2004
Independence Day,07-20-2004
Battle of Boyacá Day,08-07-2004
Assumption of Mary,08-16-2004
Day of the Races,10-18-2004
All Saints' Day,11-01-2004
Cartagena Independence Day,11-15-2004
Feast of the Immaculate Conception,12-08-2004
Christmas Day,12-25-2004
New Year's Day,01-01-2005
Epiphany,01-10-2005
Saint Joseph's Day,03-21-2005
Maundy Thursday,03-24-2005
Good Friday,03-25-2005
Labour Day,05-01-2005
Ascension Day,05-09-2005
Corpus Christi,05-30-2005
Feast of the Sacred Heart,06-06-2005
Feast of Saints Peter and Paul,07-04-2005
Independence Day,07-20-2005
Battle of Boyacá Day,08-07-2005
Assumption of Mary,08-15-2005
Day of the Races,10-17-2005
All Saints' Day,11-07-2005
Cartagena Independence Day,11-14-2005
Feast of the Immaculate Conception,12-08-2005
Christmas Day,12-25-2005
New Year's Day,01-01-2006
Epiphany,01-09-2006
Saint Joseph's Day,03-20-2006
Maundy Thursday,04-13-2006
Good Friday,04-14-2006
Labour Day,05-01-2006
Ascension Day,05-29-2006
Corpus Christi,06-19-2006
Feast of the Sacred Heart,06-26-2006
Feast of Saints Peter and Paul,07-03-2006
Independence Day,07-20-2006
Battle of Boyacá Day,08-07-2006
Assumption of Mary,08-21-2006
Day of the Races,10-16-2006
All Saints' Day,11-06-2006
Cartagena Independence Day,11-13-2006
Feast of the Immaculate Conception,12-08-2006
Christmas Day,12-25-2006
New Year's Day,01-01-2007
Epiphany,01-08-2007
Saint Joseph's Day,03-19-2007
Maundy Thursday,04-05-2007
Good Friday,04-06-2007
Labour Day,05-01-2007
Ascension Day,05-21-2007
Corpus Christi,06-11-2007
Feast of the Sacred Heart,06-18-2007
Feast of Saints Peter and Paul,07-02-2007
Independence Day,07-20-2007
Battle of Boyacá Day,08-07-2007
Assumption of Mary,08-20-2007
Day of the Races,10-15-2007
All Saints' Day,11-05-2007
Cartagena Independence Day,11-12-2007
Feast of the Immaculate Conception,12-08-2007
Christmas Day,12-25-2007
New Year's Day,01-01-2008
Epiphany,01-07-2008
Maundy Thursday,03-20-2008
Good Friday,03-21-2008
Saint Joseph's Day,03-24-2008
Labour Day,05-01-2008
Ascension Day,05-05-2008
Corpus Christi,05-26-2008
Feast of the Sacred Heart,06-02-2008
