nombre_barrio,Cant,Cluster
0,194,4
1,63,3
2,36,3
3,323,2
4,1046,1
5,581,1
6,173,4
7,39,3
8,695,1
9,693,1
10,358,2
11,180,4
12,440,2
13,872,1
14,105,3
15,79,3
16,36,3
17,298,2
18,303,2
19,231,4
20,128,4
21,421,2
22,293,2
23,336,2
24,295,2
25,66,3
26,2037,5
27,332,2
28,513,2
29,719,1
30,689,1
31,204,4
32,381,2
33,94,3
34,393,2
35,755,1
36,377,2
37,333,2
38,274,4
39,194,4
40,147,4
41,278,4
42,323,2
43,308,2
44,404,2
45,473,2
46,232,4
47,515,2
48,350,2
49,764,1
50,121,4
51,895,1
52,37,3
53,295,2
54,479,2
55,215,4
56,345,2
57,221,4
58,22,3
59,302,2
60,207,4
61,869,1
62,543,2
63,261,4
64,188,4
65,52,3
66,168,4
67,149,4
68,5,3
69,248,4
70,519,2
71,197,4
72,390,2
73,174,4
74,187,4
75,544,2
76,75,3
77,235,4
78,210,4
79,263,4
80,361,2
81,46,3
82,201,4
83,774,1
84,490,2
85,174,4
86,404,2
87,418,2
88,460,2
89,25,3
90,1520,5
91,825,1
92,166,4
93,239,4
94,79,3
95,357,2
96,812,1
97,351,2
98,245,4
99,337,2
100,35,3
101,380,2
102,222,4
103,70,3
104,121,3
105,120,3
106,141,4
107,336,2
108,185,4
109,1513,5
110,78,3
111,63,3
112,393,2
113,179,4
114,98,3
115,383,2
116,197,4
117,212,4
118,41,3
119,65,3
120,369,2
121,176,4
122,501,2
123,43,3
124,151,4
125,476,2
126,384,2
127,107,3
128,261,4
129,177,4
130,405,2
131,332,2
132,157,4
133,205,4
134,60,3
135,149,4
136,29,3
137,190,4
138,118,3
139,43,3
140,276,4
141,107,3
142,66,3
143,213,4
144,35,3
145,350,2
146,190,4
147,423,2
148,189,4
149,153,4
150,504,2
151,270,4
152,197,4
153,477,2
154,123,3
155,68,3
156,107,3
157,434,2
158,77,3
159,177,4
160,542,2
161,304,2
162,131,3
163,317,2
164,309,2
165,216,4
166,532,2
167,408,2
168,692,1
169,169,4
170,228,4
171,316,2
172,302,2
173,70,3
174,200,4
175,173,4
176,123,3
177,242,4
178,207,4
179,526,2
180,534,2
181,223,4
182,40,3
183,160,4
184,216,4
185,14,3
186,287,4
187,177,4
188,415,2
189,100,3
190,65,3
191,214,4
192,53,3
193,113,3
194,82,3
195,59,3
196,421,2
197,408,2
198,140,3
199,84,3
200,246,4
201,69,3
202,333,2
203,274,4
204,19,0
205,100,3
206,263,4
207,21,0
208,71,3
209,93,3
210,31,0
211,28,0
212,100,3
213,9,0
214,221,4
215,4,0
216,8,0
217,82,3
218,95,3
219,12,0
220,69,0
221,97,3
222,110,3
223,21,0
224,99,3
225,9,0
226,48,0
227,36,0
228,69,0
229,140,3
230,76,0
231,41,0
232,42,0
233,168,4
234,13,0
235,3,0
236,60,0
237,13,0
238,33,0
239,19,0
240,44,0
241,7,0
242,16,0
243,12,0
244,100,0
245,13,0
246,23,0
247,22,0
248,29,0
249,44,0
250,5,0
251,41,0
252,5,0
253,29,0
254,28,0
255,32,0
256,25,0
257,8,0
258,31,0
259,25,0
260,12,0
261,3,0
262,30,0
263,2,0
264,15,0
265,7,0
266,16,0
267,2,0
268,6,0
269,9,0
270,3,0
271,9,0
272,26,0
273,54,0
274,35,0
275,68,0
276,22,0
277,39,0
278,12,0
279,5,0
280,12,0
281,32,0
282,52,0
283,29,0
284,12,0
285,24,0
286,1,0
287,4,0
288,3,0
289,16,0
290,23,0
291,2,0
292,15,0
293,14,0
294,8,0
295,27,0
296,8,0
297,29,0
298,5,0
299,3,0
300,2,0
301,29,0
302,7,0
303,5,0
304,1,0
305,9,0
306,3,0
307,2,0
308,21,0
309,2,0
310,1,0
311,2,0
312,2,0
313,13,0
314,2,0
315,1,0
316,1,0
317,3,0
318,4,0
319,5,0
320,3,0
321,3,0
322,4,0
323,3,0
324,1,0
325,1,0
