latitud,longitud,estado_civil,medio_transporte,modalidad,arma_medio,nombre_barrio,codigo_comuna,lugar,sede_receptora,modelo,dia,mes,anho,dia_semana,CLUSTER_kmedoids6
6.26804042,-75.5498916,0,0,0,0,0,0,0,0,0,1,1,2017,6,0
6.29007588,-75.55689287,1,1,1,1,1,1,0,1,1,1,1,2017,6,4
6.30418715,-75.55176046,1,0,0,0,2,1,0,1,2,1,1,2017,6,4
6.2480017,-75.57484895,2,1,1,2,3,2,1,2,3,1,1,2017,6,0
6.2681292,-75.55788195,0,0,0,0,4,3,2,3,4,1,1,2017,6,0
6.21374894,-75.58232155,0,1,1,2,5,4,0,4,3,1,1,2017,6,3
6.28164839,-75.60697641,0,0,0,0,6,5,3,5,5,1,1,2017,6,2
6.26839901,-75.54957579999999,0,0,0,0,0,0,0,0,4,1,1,2017,6,0
6.2485823,-75.54246392,0,0,0,0,7,6,3,6,3,1,1,2017,6,0
6.28342831,-75.56308051,0,1,1,2,8,3,0,3,4,1,1,2017,6,4
6.25113125,-75.57143178,0,1,2,3,9,2,0,2,2,1,1,2017,6,0
6.26116696,-75.59221353,1,1,1,2,10,7,0,7,3,1,1,2017,6,2
6.30271499,-75.57906764,3,0,0,0,11,8,0,8,6,2,1,2017,0,4
6.25646643,-75.5676956,1,0,2,3,12,2,0,2,7,2,1,2017,0,0
6.27554297,-75.57253685,3,1,1,2,13,9,0,5,3,2,1,2017,0,4
6.2591513,-75.59157517,1,1,1,2,10,7,0,7,3,2,1,2017,0,2
6.29251532,-75.55295136,0,1,1,4,14,1,0,1,8,2,1,2017,0,4
6.28680006,-75.54522453,1,0,0,0,15,10,0,9,8,2,1,2017,0,4
6.26959065,-75.53669597,1,1,0,0,16,0,0,0,5,2,1,2017,0,0
6.3047414,-75.56735809,3,0,0,3,17,9,0,5,8,2,1,2017,0,4
6.28301876,-75.56214061,1,1,2,3,8,3,0,3,6,2,1,2017,0,4
6.23767774,-75.60227616,0,0,0,0,18,7,0,7,4,2,1,2017,0,2
6.29471624,-75.59075051,2,0,2,3,19,5,4,5,3,2,1,2017,0,4
6.23466417,-75.60615297,1,0,0,0,20,11,0,4,3,2,1,2017,0,2
6.2389462999999985,-75.55089679,0,1,1,2,21,12,0,10,0,3,1,2017,1,0
6.23247554,-75.55815292,1,0,0,0,22,12,0,10,2,3,1,2017,1,0
6.23845036,-75.5686852,0,1,1,2,23,2,0,2,3,3,1,2017,1,0
6.25109845,-75.57524695,0,0,0,0,24,2,0,2,3,3,1,2017,1,0
6.29974054,-75.55737164,0,0,0,0,25,1,0,1,3,3,1,2017,1,4
6.2893587,-75.59017506,3,0,0,0,19,5,3,5,4,3,1,2017,1,4
6.2390788,-75.56780114,0,0,1,0,23,2,0,2,3,3,1,2017,1,0
6.25480739,-75.56211857,1,0,0,0,26,2,0,2,3,3,1,2017,1,0
6.18304759,-75.65625693,1,0,0,0,27,13,2,11,8,3,1,2017,1,5
6.23472816,-75.59108133,1,1,1,2,28,11,0,4,0,3,1,2017,1,2
6.263576400000002,-75.55860116,3,0,0,0,4,3,0,3,4,3,1,2017,1,0
6.27646012,-75.55738773,3,1,1,2,29,3,0,3,4,3,1,2017,1,4
6.26438248,-75.56777679999998,1,1,1,2,30,2,0,2,3,3,1,2017,1,0
6.2523364,-75.60834969999998,0,0,0,0,31,14,0,7,0,3,1,2017,1,2
6.20990625,-75.57909152,3,1,1,2,5,4,0,4,3,4,1,2017,2,3
6.27258378,-75.56238206,3,1,1,2,32,3,0,3,4,4,1,2017,2,4
6.2573596,-75.62459316,1,0,0,0,33,15,0,12,3,4,1,2017,2,2
6.24041134,-75.56315573,0,0,0,0,34,12,0,10,3,4,1,2017,2,0
6.26056257,-75.57203018,0,1,1,2,30,2,0,2,3,4,1,2017,2,0
6.25109096,-75.55890318,0,1,1,2,35,2,0,2,3,4,1,2017,2,0
6.23832238,-75.57053056,0,1,1,2,36,2,0,2,8,4,1,2017,2,0
6.28123781,-75.61751213,1,0,0,0,37,16,0,8,3,4,1,2017,2,2
6.22775295,-75.57786908,1,0,0,0,38,4,0,4,3,4,1,2017,2,3
6.20519729,-75.59934777,0,0,0,0,39,11,0,4,5,4,1,2017,2,3
6.28787837,-75.59888738,0,1,0,0,40,5,3,5,3,4,1,2017,2,4
6.22005239,-75.57662454,0,1,1,2,41,17,0,13,3,4,1,2017,2,3
6.2277142,-75.54159077,0,0,0,0,42,12,0,10,9,4,1,2017,2,0
6.23955558,-75.56540217,0,0,0,0,43,2,0,2,3,4,1,2017,2,0
6.26004634,-75.57336941,0,1,1,2,30,2,0,2,3,4,1,2017,2,0
6.27371004,-75.57818949,3,0,0,0,44,9,0,5,6,4,1,2017,2,4
6.20682679,-75.58635023,1,1,1,2,45,4,0,4,6,4,1,2017,2,3
6.27482578,-75.57899024,0,1,1,2,46,5,0,5,3,4,1,2017,2,4
6.27779853,-75.56377264,0,0,0,0,8,3,0,3,4,5,1,2017,3,4
6.24332971,-75.58182266,1,0,0,0,47,7,0,7,3,5,1,2017,3,0
6.28507445,-75.58672635,0,0,0,0,48,5,0,5,3,5,1,2017,3,4
6.25327945,-75.56510284,0,0,0,0,49,2,0,2,0,5,1,2017,3,0
6.29528072,-75.59301414,0,0,0,0,19,5,0,5,3,5,1,2017,3,4
6.27913607,-75.63933464,0,0,0,0,50,16,0,8,3,5,1,2017,3,2
6.29035936,-75.56998201,0,1,1,2,51,9,0,5,2,5,1,2017,3,4
6.25986052,-75.61551120000001,0,1,0,0,52,15,3,12,1,5,1,2017,3,2
6.21450096,-75.57829972,1,1,1,2,5,4,0,4,3,5,1,2017,3,3
6.272343599999999,-75.55649187,0,0,0,3,29,3,0,3,10,5,1,2017,3,0
6.30223564,-75.56643214,0,1,1,2,53,9,0,5,6,5,1,2017,3,4
6.22139093,-75.58055665,0,0,0,0,54,4,0,4,3,5,1,2017,3,3
6.24768562,-75.58435574,0,0,0,0,55,7,0,7,4,5,1,2017,3,2
6.24483208,-75.55255564,1,0,1,0,56,6,0,6,4,5,1,2017,3,0
6.20305103,-75.58001485,0,0,1,2,45,4,0,4,3,6,1,2017,4,3
6.26994167,-75.57241105,0,1,2,3,13,9,0,5,8,6,1,2017,4,4
6.27303883,-75.54984331,0,1,0,0,57,0,3,0,11,6,1,2017,4,0
6.29110231,-75.59119966,0,0,0,0,19,5,3,5,3,6,1,2017,4,4
6.23619998,-75.53304399999998,0,0,0,3,58,6,0,6,3,6,1,2017,4,0
6.26583017,-75.57125479,1,1,1,2,59,3,0,3,3,6,1,2017,4,0
6.28465041,-75.58769133,0,0,0,0,48,5,0,5,3,6,1,2017,4,4
6.25086853,-75.54288628,0,0,0,0,60,6,0,6,3,6,1,2017,4,0
6.27600853,-75.55538325,1,1,0,0,29,3,0,3,3,6,1,2017,4,4
6.24122902,-75.55813875,1,1,1,2,61,12,0,10,3,6,1,2017,4,0
6.23408548,-75.57084024,0,1,1,2,62,2,0,2,3,6,1,2017,4,0
6.24174593,-75.57117429,1,0,0,0,63,2,0,2,3,6,1,2017,4,0
6.23097393,-75.57511177,1,1,1,2,64,17,0,13,3,6,1,2017,4,3
6.2758497,-75.57704894,0,0,0,0,44,9,0,5,3,6,1,2017,4,4
6.20645348,-75.56599226,0,1,0,0,65,17,1,13,8,6,1,2017,4,3
6.23152711,-75.53925188,0,0,0,0,66,12,0,10,0,6,1,2017,4,0
6.26461009,-75.57339893,1,1,1,2,67,5,0,5,3,6,1,2017,4,0
6.24851831,-75.50058927,1,1,1,2,68,18,0,10,4,6,1,2017,4,0
6.28697524,-75.59227791,0,0,0,0,69,5,0,5,0,6,1,2017,4,4
6.27420117,-75.56592431,0,0,0,0,70,3,0,3,4,6,1,2017,4,4
6.25421796,-75.57677045,0,1,1,2,9,2,0,2,3,6,1,2017,4,0
6.2390710999999985,-75.55978755,0,1,1,2,71,12,0,10,3,6,1,2017,4,0
6.274346,-75.58258502,0,1,1,2,72,5,0,5,3,6,1,2017,4,4
6.25672774,-75.56992626,0,0,1,0,12,2,0,2,3,7,1,2017,5,0
6.25998317,-75.58793273,1,1,1,2,73,7,0,7,3,7,1,2017,5,2
6.24065274,-75.57152834,0,0,0,0,63,2,0,2,11,7,1,2017,5,0
6.2137916,-75.57643142,0,0,1,0,74,17,0,13,6,7,1,2017,5,3
6.26329863,-75.55653376,0,1,1,2,4,3,0,3,0,7,1,2017,5,0
6.26641468,-75.5643186,0,0,0,3,75,3,0,3,2,7,1,2017,5,0
6.25758631,-75.61289057,0,1,1,2,76,15,0,12,5,7,1,2017,5,2
6.24402829,-75.54754939,1,1,0,0,77,6,0,6,3,7,1,2017,5,0
6.30417649,-75.55817094,0,1,1,2,78,9,0,5,3,7,1,2017,5,4
6.24370562,-75.60409911,0,1,1,3,79,14,0,7,0,7,1,2017,5,2
6.28091787,-75.60377922,1,0,0,0,80,5,0,5,3,7,1,2017,5,2
6.27222629,-75.53888049,3,1,0,0,16,0,0,0,0,7,1,2017,5,0
6.17757303,-75.64114504,1,0,2,0,27,13,0,11,0,8,1,2017,6,5
6.29302187,-75.54066587,0,0,0,3,81,10,0,9,3,8,1,2017,6,4
6.29372304,-75.58322277,0,0,0,0,82,8,0,8,3,8,1,2017,6,4
6.28064593,-75.62328961,1,0,0,0,37,16,0,8,3,8,1,2017,6,2
6.26593056,-75.55517494,0,1,0,0,83,0,0,0,8,9,1,2017,0,0
6.24354112,-75.58255494,0,0,0,0,47,7,0,7,3,9,1,2017,0,2
6.29016386,-75.56544509,0,1,1,2,84,9,0,5,3,9,1,2017,0,4
6.23295689,-75.57459786,0,1,1,2,62,2,0,2,3,9,1,2017,0,0
6.25879121,-75.61010626,0,0,0,0,85,15,0,12,5,10,1,2017,1,2
6.24947817,-75.58682766,1,0,2,3,86,7,0,7,4,10,1,2017,1,2
6.27957484,-75.57604485,0,1,1,2,87,5,0,5,3,10,1,2017,1,4
6.25715035,-75.56679692,0,0,0,3,88,2,0,2,6,10,1,2017,1,0
6.27627349,-75.58431853,3,0,0,0,72,5,0,5,12,10,1,2017,1,4
6.2581494000000015,-75.61239924,0,0,0,3,76,15,0,12,3,10,1,2017,1,2
6.23192316,-75.5915698,1,0,0,0,28,11,0,4,6,10,1,2017,1,2
